Title,Artist,Year,Genre,Popularity,Formatted_Artist,Formatted_Title
Дядя Володя,Pornofilmy,2020,rock,37,pornofilmy,_
Seni Dert Etmeler,Madrigal,2020,rock,67,madrigal,seni_dert_etmeler
Idol (feat. Tech N9ne),Hollywood Undead,2020,rock,51,hollywood_undead,idol_feat_tech_n9ne
Only She Knows,Loving,2020,rock,53,loving,only_she_knows
Шампанські очі,Pianoboy,2020,rock,38,pianoboy,_
Do I Wanna Know? - Live,Arctic Monkeys,2020,rock,46,arctic_monkeys,do_i_wanna_know_live
Infinite,Silverstein,2020,rock,52,silverstein,infinite
Again,Black Stone Cherry,2020,rock,50,black_stone_cherry,again
Uzunlar - V1,Evdeki Saat,2020,rock,63,evdeki_saat,uzunlar_v1
I Want To Know What Love Is - BLOND:ISH Sunrise Jungle Rework,Foreigner,2020,rock,49,foreigner,i_want_to_know_what_love_is_blondish_sunrise_jungle_rework
Живи без остатка,Noize MC,2020,rock,39,noize_mc,_
With Arms Wide Open,Creed,2020,rock,51,creed,with_arms_wide_open
Припустим,The Unsleeping,2020,rock,39,the_unsleeping,
Can't Be Mine,Bad Nerves,2020,rock,45,bad_nerves,cant_be_mine
Kokoroyohou,Eve,2020,rock,53,eve,kokoroyohou
"All For Love - From ""The Three Musketeers"" Soundtrack",Bryan Adams,2020,rock,48,bryan_adams,all_for_love_from_the_three_musketeers_soundtrack
Козаки,Тінь Сонця,2020,rock,37,_,
неторопливая любовь,Nochnye Snaipery,2020,rock,40,nochnye_snaipery,_
Si Tú La Quieres,David Bisbal,2020,rock,64,david_bisbal,si_tu_la_quieres
Персефона,Vivienne Mort,2020,rock,37,vivienne_mort,
A Hero's Death,Fontaines D.C.,2020,rock,51,fontaines_dc,a_heros_death
Conticinio,Guitarricadelafuente,2020,rock,58,guitarricadelafuente,conticinio
"Передайте это Гарри Поттеру, если вдруг его встретите",Splean,2020,rock,36,splean,_
"Liar, Liar",The Castaways,2020,rock,43,the_castaways,liar_liar
Me & You Together Song,The 1975,2020,rock,56,the_1975,me_you_together_song
Chicken Tenders,Dominic Fike,2020,rock,55,dominic_fike,chicken_tenders
Blizzard,Erdling,2020,rock,41,erdling,blizzard
A Lucid Dream,Fontaines D.C.,2020,rock,49,fontaines_dc,a_lucid_dream
Атака Мертвецов,RADIO TAPOK,2020,rock,37,radio_tapok,_
