Title,Artist,Year,Genre,Popularity
化身,POLKADOT STINGRAY,2020,rock,43
холода,конец солнечных дней,2020,rock,27
Запорізький марш,Тінь Сонця,2020,rock,25
Werewolf UA,Sasha Boole,2020,rock,24
До серця,Fiolet,2020,rock,24
Серед Тіней,ВІЙ,2020,rock,27
Banks,NEEDTOBREATHE,2020,rock,57
La Declaración,El Zar,2020,rock,61
калифорния,shit shit shit!,2020,rock,27
Troja,In Extremo,2020,rock,41
'Til I Found You,Jeremy Loops,2020,rock,35
Критическое мышление,План Ломоносова,2020,rock,25
O Bi Karamel,Ozbi,2020,rock,59
Cold Beer Calling My Name,Jameson Rodgers,2020,rock,58
Увольте,Дай Дарогу!,2020,rock,15
No Place Left to Leave,Brent Cobb,2020,rock,50
Молчание ягнят,Louna,2020,rock,24
Drift,Slow Crush,2020,rock,40
Barbar,Kaan Boşnak,2020,rock,58
Keep Me In The Moment - Radio Version,Jeremy Camp,2020,rock,53
Hatamı Dansa Kaldırdım,Kendimden Hallice,2020,rock,61
You Keep Hope Alive,Mandisa,2020,rock,52
Kusura Bakma,Tuğkan,2020,rock,61
Antiaéreo,Arde Bogotá,2020,rock,60
Свет былой любви,Aria,2020,rock,23
Battle Belongs,Phil Wickham,2020,rock,52
