Title,Artist,Year,Genre,Popularity,track_id
После меня,шумные и угрожающие выходки,2020,rock,29,486
Не соромно,Марний,2020,rock,28,487
Life in the Tropics,Cienfue,2020,rock,46,488
Shoot Me,The Hatters,2020,rock,30,489
Утекай,Mumiy Troll,2020,rock,28,490
Пляж,Дайте танк (!),2020,rock,29,491
Don't Stop Me Now - Remastered 2011,Queen,2020,rock,35,492
Bésame,David Bisbal,2020,rock,50,493
Лети,Vivienne Mort,2020,rock,27,494
Научите меня любить,снова не успел,2020,rock,28,495
Try Again,Walking On Cars,2020,rock,39,496
Пластиліновий сон,Stereopalto,2020,rock,28,497
Hiç Kimsenin Günahı Yok,Sufle,2020,rock,61,498
Liquid Dynamite,NO CIGAR,2020,rock,46,499
Ретро,Дайте танк (!),2020,rock,29,500
アンダーグラウンド,MY FIRST STORY,2020,rock,45,501
"Спасибо, Артём",ГУДТАЙМС,2020,rock,27,502
Родимки,Pianoboy,2020,rock,23,503
突破口,SUPER BEAVER,2020,rock,52,504
капли крови,источник,2020,rock,29,505
Mix 'Em With Whiskey,Drake White,2020,rock,50,506
Чорний,Лінія Маннергейма,2020,rock,28,507
Не веру,Дай Дарогу!,2020,rock,16,508
Гопник Коля,Operation Plasticine,2020,rock,28,509
